time,open,high,low,close,Volume
2026-05-01T00:00:00-05:00,27628.25,27628.5,27624.5,27625.5,71
2026-05-01T00:01:00-05:00,27626.5,27627,27619.25,27621,108
2026-05-01T00:02:00-05:00,27620.25,27624.5,27620,27624.5,75
2026-05-01T00:03:00-05:00,27623.75,27626,27622.5,27624,35
2026-05-01T00:04:00-05:00,27623.75,27628,27622.75,27628,27
2026-05-01T00:05:00-05:00,27628.25,27636.5,27627.5,27636.25,148
2026-05-01T00:06:00-05:00,27636,27640.75,27634.25,27634.25,104
2026-05-01T00:07:00-05:00,27633.75,27639,27631,27631.75,86
2026-05-01T00:08:00-05:00,27632,27635.25,27628.25,27635,59
2026-05-01T00:09:00-05:00,27634,27635.25,27633.25,27634.5,15
2026-05-01T00:10:00-05:00,27635,27635,27632,27632,22
2026-05-01T00:11:00-05:00,27632,27635.75,27629,27635,53
2026-05-01T00:12:00-05:00,27634.75,27636.25,27634,27635.25,27
2026-05-01T00:13:00-05:00,27633.5,27636.25,27633,27634,15
2026-05-01T00:14:00-05:00,27634.5,27637.75,27634.25,27637.75,37
2026-05-01T00:15:00-05:00,27636,27637,27633.25,27633.25,36
2026-05-01T00:16:00-05:00,27633.5,27634,27632.25,27632.5,22
2026-05-01T00:17:00-05:00,27631.75,27633.5,27626.5,27627.25,41
2026-05-01T00:18:00-05:00,27626.5,27628,27625.5,27625.5,37
2026-05-01T00:19:00-05:00,27626,27626,27621.25,27625.25,103
2026-05-01T00:20:00-05:00,27624.75,27625.5,27622.75,27625,60
2026-05-01T00:21:00-05:00,27626.25,27628.25,27626.25,27628.25,14
2026-05-01T00:22:00-05:00,27628.75,27634,27627.75,27632.75,74
2026-05-01T00:23:00-05:00,27631.5,27631.5,27629.5,27629.5,17
2026-05-01T00:24:00-05:00,27629.5,27632.25,27629.5,27632.25,16
2026-05-01T00:25:00-05:00,27632.5,27633.5,27631.5,27632.5,32
2026-05-01T00:26:00-05:00,27634,27636.5,27633.5,27633.5,54
2026-05-01T00:27:00-05:00,27633.25,27633.25,27631.5,27633.25,24
2026-05-01T00:28:00-05:00,27633.5,27637.5,27633,27636.75,23
2026-05-01T00:29:00-05:00,27636,27638,27635.25,27636.75,20
2026-05-01T00:30:00-05:00,27636,27636.5,27634,27634,36
2026-05-01T00:31:00-05:00,27634,27636,27633,27636,39
2026-05-01T00:32:00-05:00,27635.25,27635.5,27630,27631.75,53
2026-05-01T00:33:00-05:00,27632.75,27634.75,27632.5,27634.25,14
2026-05-01T00:34:00-05:00,27633.5,27633.5,27630.25,27630.25,34
2026-05-01T00:35:00-05:00,27630.5,27630.5,27627,27629.75,53
2026-05-01T00:36:00-05:00,27630,27630,27623,27626.25,90
2026-05-01T00:37:00-05:00,27627,27628.25,27625,27628,35
2026-05-01T00:38:00-05:00,27627.75,27628.75,27625.25,27626,18
2026-05-01T00:39:00-05:00,27625.5,27628.5,27625.5,27628,18
2026-05-01T00:40:00-05:00,27626.5,27626.5,27623,27624,40
2026-05-01T00:41:00-05:00,27623.75,27626,27622,27623,44
2026-05-01T00:42:00-05:00,27625.75,27626.5,27624.75,27625.75,13
2026-05-01T00:43:00-05:00,27626,27627.75,27625.25,27626.5,27
