time,open,high,low,close,Volume
2026-07-01T00:00:00-05:00,30445.75,30447.5,30442.25,30445.25,64
2026-07-01T00:01:00-05:00,30445.5,30448.5,30437.25,30438.5,74
2026-07-01T00:02:00-05:00,30438.75,30441.75,30435.5,30436.75,62
2026-07-01T00:03:00-05:00,30437.25,30442.5,30436.75,30442.5,22
2026-07-01T00:04:00-05:00,30441,30446.25,30441,30446.25,40
2026-07-01T00:05:00-05:00,30445.75,30452.5,30444.75,30451.5,39
2026-07-01T00:06:00-05:00,30450.5,30456,30450.5,30453,46
2026-07-01T00:07:00-05:00,30453.75,30461.75,30453.5,30459.5,44
2026-07-01T00:08:00-05:00,30459.75,30463,30457.5,30460,28
2026-07-01T00:09:00-05:00,30459.25,30460.25,30449.75,30449.75,36
2026-07-01T00:10:00-05:00,30450,30450,30440.75,30445.5,80
2026-07-01T00:11:00-05:00,30443.75,30446.5,30440,30442.25,62
2026-07-01T00:12:00-05:00,30441.75,30445.25,30440.5,30442,27
2026-07-01T00:13:00-05:00,30443.25,30447.5,30443.25,30444.25,37
2026-07-01T00:14:00-05:00,30444,30446.5,30444,30446.5,14
2026-07-01T00:15:00-05:00,30444.25,30449.5,30443.25,30443.25,39
2026-07-01T00:16:00-05:00,30444.25,30450.5,30441.25,30449.25,55
2026-07-01T00:17:00-05:00,30447.5,30450.75,30445.25,30449.25,33
2026-07-01T00:18:00-05:00,30449.5,30450.75,30440,30444.25,28
2026-07-01T00:19:00-05:00,30443.25,30449,30443.25,30448.25,59
2026-07-01T00:20:00-05:00,30448,30448,30438,30439.75,51
2026-07-01T00:21:00-05:00,30438.75,30440.5,30434,30436,73
2026-07-01T00:22:00-05:00,30435.75,30436.5,30430.5,30434.5,103
2026-07-01T00:23:00-05:00,30433,30436.5,30429.25,30435.75,97
2026-07-01T00:24:00-05:00,30436,30442.75,30436,30440.25,91
2026-07-01T00:25:00-05:00,30440,30441.25,30435,30437.25,77
2026-07-01T00:26:00-05:00,30437.75,30438.25,30431.75,30433.25,41
2026-07-01T00:27:00-05:00,30433.5,30438.5,30432.5,30436.75,33
2026-07-01T00:28:00-05:00,30436,30440.25,30435.5,30439.25,23
2026-07-01T00:29:00-05:00,30438,30441,30429.75,30436.75,64
2026-07-01T00:30:00-05:00,30436,30437.5,30432.5,30436,52
2026-07-01T00:31:00-05:00,30436,30442,30434.5,30435.25,42
2026-07-01T00:32:00-05:00,30435.5,30446.75,30433.75,30442,104
2026-07-01T00:33:00-05:00,30442,30445.75,30439,30442.5,35
2026-07-01T00:34:00-05:00,30438,30438,30428,30434,81
2026-07-01T00:35:00-05:00,30435.25,30437.5,30433,30433,41
2026-07-01T00:36:00-05:00,30433.25,30435.25,30426.25,30432,48
2026-07-01T00:37:00-05:00,30430.25,30430.5,30423.5,30427.75,96
2026-07-01T00:38:00-05:00,30426.5,30431.25,30422.25,30429.75,69
2026-07-01T00:39:00-05:00,30430.25,30436,30428.5,30435.25,48
